,Candidat,Date,Nb de likes
922,yjadot,2021-12-09 11:45:00+00:00,224
923,yjadot,2021-12-09 11:31:25+00:00,107
924,yjadot,2021-12-09 11:00:26+00:00,132
925,yjadot,2021-12-08 19:42:35+00:00,175
926,yjadot,2021-12-08 18:42:29+00:00,320
927,yjadot,2021-12-08 18:22:32+00:00,150
928,yjadot,2021-12-08 16:32:56+00:00,729
929,yjadot,2021-12-08 11:05:05+00:00,76
930,yjadot,2021-12-08 11:05:04+00:00,300
931,yjadot,2021-12-08 08:31:44+00:00,381
932,yjadot,2021-12-07 17:34:13+00:00,410
933,yjadot,2021-12-07 15:29:37+00:00,132
934,yjadot,2021-12-07 14:39:00+00:00,429
935,yjadot,2021-12-06 21:25:53+00:00,235
936,yjadot,2021-12-06 21:18:02+00:00,98
937,yjadot,2021-12-06 20:09:40+00:00,671
938,yjadot,2021-12-06 20:00:02+00:00,269
939,yjadot,2021-12-06 19:01:01+00:00,286
940,yjadot,2021-12-06 15:17:39+00:00,204
941,yjadot,2021-12-06 06:55:54+00:00,798
942,yjadot,2021-12-05 20:19:07+00:00,740
943,yjadot,2021-12-05 19:59:15+00:00,725
944,yjadot,2021-12-05 19:00:01+00:00,177
945,yjadot,2021-12-05 12:30:20+00:00,88
946,yjadot,2021-12-05 12:30:18+00:00,89
947,yjadot,2021-12-05 12:30:16+00:00,74
948,yjadot,2021-12-05 12:30:15+00:00,44
949,yjadot,2021-12-05 12:30:14+00:00,47
950,yjadot,2021-12-05 12:30:12+00:00,59
951,yjadot,2021-12-05 12:30:10+00:00,66
952,yjadot,2021-12-05 12:30:09+00:00,312
953,yjadot,2021-12-05 09:00:02+00:00,264
954,yjadot,2021-12-04 19:49:26+00:00,268
955,yjadot,2021-12-04 19:27:30+00:00,652
956,yjadot,2021-12-04 19:00:00+00:00,176
957,yjadot,2021-12-04 17:34:41+00:00,159
958,yjadot,2021-12-04 16:18:16+00:00,179
959,yjadot,2021-12-04 15:19:16+00:00,930
960,yjadot,2021-12-04 13:45:40+00:00,478
961,yjadot,2021-12-04 13:23:35+00:00,427
962,yjadot,2021-12-03 19:00:01+00:00,211
963,yjadot,2021-12-03 17:18:15+00:00,350
964,yjadot,2021-12-03 15:08:48+00:00,705
965,yjadot,2021-12-03 13:01:49+00:00,113
966,yjadot,2021-12-03 11:47:00+00:00,338
967,yjadot,2021-12-03 11:10:29+00:00,158
968,yjadot,2021-12-03 11:10:28+00:00,103
969,yjadot,2021-12-03 11:10:28+00:00,204
970,yjadot,2021-12-03 09:33:41+00:00,1017
971,yjadot,2021-12-02 19:15:43+00:00,220
972,yjadot,2021-12-02 17:22:44+00:00,31
973,yjadot,2021-12-02 17:17:11+00:00,140
974,yjadot,2021-12-02 12:51:59+00:00,42
975,yjadot,2021-12-02 12:04:53+00:00,111
976,yjadot,2021-12-02 12:01:43+00:00,85
977,yjadot,2021-12-02 12:01:09+00:00,295
978,yjadot,2021-12-01 19:30:29+00:00,84
979,yjadot,2021-12-01 19:19:13+00:00,418
980,yjadot,2021-12-01 16:36:07+00:00,99
981,yjadot,2021-12-01 16:36:05+00:00,234
982,yjadot,2021-12-01 16:36:04+00:00,67
983,yjadot,2021-12-01 16:36:04+00:00,59
984,yjadot,2021-12-01 16:36:03+00:00,52
985,yjadot,2021-12-01 16:36:02+00:00,52
986,yjadot,2021-12-01 16:36:02+00:00,45
987,yjadot,2021-12-01 16:36:01+00:00,56
988,yjadot,2021-12-01 16:36:00+00:00,235
989,yjadot,2021-12-01 12:00:03+00:00,157
990,EmmanuelMacron,2021-12-26 12:10:55+00:00,7234
991,EmmanuelMacron,2021-12-25 14:53:58+00:00,8225
992,EmmanuelMacron,2021-12-24 17:00:03+00:00,6948
993,EmmanuelMacron,2021-12-23 08:31:16+00:00,13433
994,EmmanuelMacron,2021-12-19 16:06:44+00:00,2724
995,EmmanuelMacron,2021-12-17 15:45:14+00:00,2194
996,EmmanuelMacron,2021-12-17 00:29:25+00:00,6551
997,EmmanuelMacron,2021-12-16 00:31:24+00:00,1539
998,EmmanuelMacron,2021-12-16 00:31:23+00:00,2647
999,EmmanuelMacron,2021-12-15 23:42:59+00:00,3094
1000,EmmanuelMacron,2021-12-15 23:13:48+00:00,1214
1001,EmmanuelMacron,2021-12-15 22:42:08+00:00,2329
1002,EmmanuelMacron,2021-12-15 22:21:06+00:00,1624
1003,EmmanuelMacron,2021-12-15 22:21:05+00:00,1447
1004,EmmanuelMacron,2021-12-15 22:21:04+00:00,455
1005,EmmanuelMacron,2021-12-15 22:21:04+00:00,584
1006,EmmanuelMacron,2021-12-15 22:21:03+00:00,481
1007,EmmanuelMacron,2021-12-15 22:21:03+00:00,3863
1008,EmmanuelMacron,2021-12-15 22:12:06+00:00,1599
1009,EmmanuelMacron,2021-12-15 21:29:47+00:00,2415
1010,EmmanuelMacron,2021-12-15 21:11:58+00:00,3182
1011,EmmanuelMacron,2021-12-15 16:30:02+00:00,735
1012,EmmanuelMacron,2021-12-15 16:30:01+00:00,874
1013,EmmanuelMacron,2021-12-15 16:30:00+00:00,1795
1014,EmmanuelMacron,2021-12-15 12:01:59+00:00,17129
1015,EmmanuelMacron,2021-12-13 17:41:24+00:00,2471
1016,EmmanuelMacron,2021-12-13 15:25:40+00:00,2050
1017,EmmanuelMacron,2021-12-13 14:55:20+00:00,7052
1018,EmmanuelMacron,2021-12-12 12:31:23+00:00,6579
1019,EmmanuelMacron,2021-12-12 12:11:56+00:00,2025
1020,EmmanuelMacron,2021-12-10 19:57:29+00:00,4225
1021,EmmanuelMacron,2021-12-10 12:42:38+00:00,2798
1022,EmmanuelMacron,2021-12-10 12:29:26+00:00,5356
1023,EmmanuelMacron,2021-12-09 20:46:00+00:00,1499
1024,EmmanuelMacron,2021-12-09 20:27:40+00:00,779
1025,EmmanuelMacron,2021-12-09 20:27:39+00:00,787
1026,EmmanuelMacron,2021-12-09 20:27:39+00:00,1404
1027,EmmanuelMacron,2021-12-09 20:07:07+00:00,551
1028,EmmanuelMacron,2021-12-09 20:07:06+00:00,615
1029,EmmanuelMacron,2021-12-09 20:07:06+00:00,222
1030,EmmanuelMacron,2021-12-09 20:07:05+00:00,1206
1031,EmmanuelMacron,2021-12-09 19:35:15+00:00,864
1032,EmmanuelMacron,2021-12-09 19:35:15+00:00,739
1033,EmmanuelMacron,2021-12-09 19:35:14+00:00,235
1034,EmmanuelMacron,2021-12-09 19:35:14+00:00,229
1035,EmmanuelMacron,2021-12-09 19:35:13+00:00,1939
1036,EmmanuelMacron,2021-12-09 19:06:52+00:00,680
1037,EmmanuelMacron,2021-12-09 19:06:51+00:00,720
1038,EmmanuelMacron,2021-12-09 19:06:51+00:00,302
1039,EmmanuelMacron,2021-12-09 19:06:50+00:00,287
1040,EmmanuelMacron,2021-12-09 19:06:50+00:00,312
1041,EmmanuelMacron,2021-12-09 19:06:50+00:00,319
1042,EmmanuelMacron,2021-12-09 19:06:49+00:00,1877
1043,EmmanuelMacron,2021-12-09 18:55:01+00:00,5543
1044,EmmanuelMacron,2021-12-09 18:13:54+00:00,3319
1045,EmmanuelMacron,2021-12-09 15:25:05+00:00,2227
1046,EmmanuelMacron,2021-12-08 21:18:33+00:00,2531
1047,EmmanuelMacron,2021-12-08 18:01:22+00:00,3059
1048,EmmanuelMacron,2021-12-08 10:12:22+00:00,3392
1049,EmmanuelMacron,2021-12-08 08:45:00+00:00,19462
1050,EmmanuelMacron,2021-12-07 20:42:27+00:00,2028
1051,EmmanuelMacron,2021-12-07 13:49:45+00:00,2244
1052,EmmanuelMacron,2021-12-07 13:29:56+00:00,1733
1053,EmmanuelMacron,2021-12-05 18:23:25+00:00,3282
1054,EmmanuelMacron,2021-12-04 14:21:12+00:00,1016
1055,EmmanuelMacron,2021-12-04 14:21:12+00:00,1208
1056,EmmanuelMacron,2021-12-04 14:21:11+00:00,3396
1057,EmmanuelMacron,2021-12-03 18:10:51+00:00,1146
1058,EmmanuelMacron,2021-12-03 18:10:49+00:00,1112
1059,EmmanuelMacron,2021-12-03 17:50:25+00:00,3408
1060,EmmanuelMacron,2021-12-03 16:03:02+00:00,2037
1061,EmmanuelMacron,2021-12-03 15:19:23+00:00,704
1062,EmmanuelMacron,2021-12-03 14:49:34+00:00,2148
1063,EmmanuelMacron,2021-12-03 14:16:56+00:00,2300
1064,EmmanuelMacron,2021-12-03 10:45:08+00:00,1739
1065,EmmanuelMacron,2021-12-03 10:42:17+00:00,5416
1066,EmmanuelMacron,2021-12-03 07:08:23+00:00,1096
1067,EmmanuelMacron,2021-12-03 07:08:22+00:00,2780
1068,EmmanuelMacron,2021-12-02 12:57:06+00:00,2207
1069,EmmanuelMacron,2021-12-02 08:27:07+00:00,5122
1070,EmmanuelMacron,2021-12-01 12:49:00+00:00,1617
1071,vpecresse,2021-12-26 14:25:41+00:00,858
1072,vpecresse,2021-12-26 12:02:31+00:00,527
1073,vpecresse,2021-12-25 15:13:59+00:00,809
1074,vpecresse,2021-12-25 09:45:36+00:00,1447
1075,vpecresse,2021-12-24 16:07:18+00:00,2303
1076,vpecresse,2021-12-23 21:29:54+00:00,321
1077,vpecresse,2021-12-23 12:06:30+00:00,1522
1078,vpecresse,2021-12-23 08:28:51+00:00,1011
1079,vpecresse,2021-12-23 05:46:13+00:00,700
1080,vpecresse,2021-12-20 20:46:55+00:00,1877
1081,vpecresse,2021-12-18 18:37:35+00:00,612
1082,vpecresse,2021-12-18 18:25:18+00:00,201
1083,vpecresse,2021-12-17 16:49:18+00:00,390
1084,vpecresse,2021-12-17 13:10:26+00:00,1135
1085,vpecresse,2021-12-17 09:31:11+00:00,637
1086,vpecresse,2021-12-16 19:54:03+00:00,580
1087,vpecresse,2021-12-16 19:42:04+00:00,957
